2025-08-26 22:06:50 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 22:06:50 | INFO     | DF | Running on device cpu
2025-08-26 22:06:50 | INFO     | DF | Model loaded
2025-08-26 22:19:17 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 22:19:17 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 22:19:17 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 22:19:17 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 22:19:17 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 22:19:17 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 22:19:17 | INFO     | DF | Running on device cpu
2025-08-26 22:19:17 | INFO     | DF | Model loaded
2025-09-08 17:24:13 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 17:24:13 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 17:24:14 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 17:24:14 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 17:25:24 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 17:25:24 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 17:25:24 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 17:25:24 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 17:26:05 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 17:26:05 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 17:26:05 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 17:26:05 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 17:38:51 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 17:38:51 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 17:38:51 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 17:38:51 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 17:38:51 | INFO     | DF | Initializing model `deepfilternet3`
2025-09-08 17:38:51 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-09-08 17:38:51 | INFO     | DF | Running on device cpu
2025-09-08 17:38:51 | INFO     | DF | Model loaded
2025-09-08 17:52:25 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 17:52:25 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 17:52:25 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 17:52:25 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 17:52:25 | INFO     | DF | Initializing model `deepfilternet3`
2025-09-08 17:52:25 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-09-08 17:52:25 | INFO     | DF | Running on device cpu
2025-09-08 17:52:25 | INFO     | DF | Model loaded
2025-09-08 17:54:45 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 17:54:45 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 17:54:45 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 17:54:45 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 17:54:45 | INFO     | DF | Initializing model `deepfilternet3`
2025-09-08 17:54:45 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-09-08 17:54:45 | INFO     | DF | Running on device cpu
2025-09-08 17:54:45 | INFO     | DF | Model loaded
2025-09-08 17:58:40 | INFO     | DF | Running on torch 2.8.0+cpu
2025-09-08 17:58:40 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-09-08 17:58:40 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-09-08 17:58:40 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-09-08 17:58:40 | INFO     | DF | Initializing model `deepfilternet3`
